Pogram,Program Code,Program Type,Major CIP,CIP Area,Degee,Major,Marjo Code,Students AY 2025,FY 2022 Grads,Wages Found,Median Wages,FY 24 Grads,Transferred in 1 Year,Median Hourly,5 Year Job Change,Articulations,Labor Market Analysis
Accounting Essentials: CP,ACCE-CP,Workforce,520301,Accounting,CP,Accounting Essentials,ACCE,5,5,4,41982,12,4,34.88,0.13,0,"Current demand: 24,297 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 27,413 jobs by 2030 (13%), a net change of 3,116; national-trend adjustment suggests 1,616. Earnings: average annual pay ranges from $56,671 to $111,319 across mapped roles; top-paying role locally is Financial Risk Specialists ($111,319). Typical education: Bachelor's degree. Completions: 26,033 regional graduates in 2024 (SLCC: 222), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Accountants and Auditors (17,700 jobs, $92,957); Tax Examiners and Collectors, and Revenue Agents (2,080 jobs, $56,671). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Accounting:  AAS,ACCT-AAS,Workforce,520301,Accounting,AAS,Accounting,ACCT,179,9,7,37735,7,2,34.88,0.13,0,"Current demand: 24,297 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 27,413 jobs by 2030 (13%), a net change of 3,116; national-trend adjustment suggests 1,616. Earnings: average annual pay ranges from $56,671 to $111,319 across mapped roles; top-paying role locally is Financial Risk Specialists ($111,319). Typical education: Bachelor's degree. Completions: 26,033 regional graduates in 2024 (SLCC: 222), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Accountants and Auditors (17,700 jobs, $92,957); Tax Examiners and Collectors, and Revenue Agents (2,080 jobs, $56,671). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Accounting: CER,ACCT-CER,Workforce,520301,Accounting,CER,Accounting,ACCT,36,5,5,31333,5,1,34.88,0.13,0,"Current demand: 24,297 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 27,413 jobs by 2030 (13%), a net change of 3,116; national-trend adjustment suggests 1,616. Earnings: average annual pay ranges from $56,671 to $111,319 across mapped roles; top-paying role locally is Financial Risk Specialists ($111,319). Typical education: Bachelor's degree. Completions: 26,033 regional graduates in 2024 (SLCC: 222), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Accountants and Auditors (17,700 jobs, $92,957); Tax Examiners and Collectors, and Revenue Agents (2,080 jobs, $56,671). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Advanced Manufacturing: AAS,ADMF-AAS,Workforce,520203,Logistics & Materials Mgt,AAS,Advanced Manufacturing,ADMF,31,0,0,,5,0,50.58,0.16,0,"Current demand: 7,156 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 8,280 jobs by 2030 (16%), a net change of 1,124; national-trend adjustment suggests 745. Earnings: average annual pay ranges from $87,729 to $114,567 across mapped roles; top-paying role locally is Industrial Production Managers ($114,567). Typical education: Bachelor's degree. Completions: 3,677 regional graduates in 2024 (SLCC: 563), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Logisticians (3,089 jobs, $87,729); Transportation, Storage, and Distribution Managers (2,287 jobs, $104,132). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Aero/Aviation Maint Tech: AAS,AMT-AAS,Workforce,470607,Aviation Maintenance Tech,AAS,Aviation Maintenance,AMT,239,34,21,64545,36,2,35.45,0.2,0,"Current demand: 2,200 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 2,567 jobs by 2030 (17%), a net change of 368; national-trend adjustment suggests 102. Earnings: average annual pay ranges from $62,997 to $73,975 across mapped roles; top-paying role locally is Aircraft Mechanics and Service Technicians ($73,975). Typical education: High school diploma or equivalent. Completions: 72 regional graduates in 2024 (SLCC: 72), indicating a likely talent shortfall relative to net growth. Highlighted occupations: Aircraft Mechanics and Service Technicians (2,049 jobs, $73,975); Aircraft Structure, Surfaces, Rigging, and Systems Assemblers (151 jobs, $62,997). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
"Air Cond, Heating, Refrig: CC",TEAC-CC,Workforce,470201,"Heating, Ventilation/Air Cond",CC,Air Condition Heat Refrigertn,TEAC,64,0,0,,0,0,32.59,0.15,0,"Current demand: 4,719 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 5,545 jobs by 2030 (18%), a net change of 826; national-trend adjustment suggests 438. Earnings: average annual pay ranges from $62,094 to $62,094 across mapped roles; top-paying role locally is Heating, Air Conditioning, and Refrigeration Mechanics and Installers ($62,094). Typical education: Postsecondary nondegree award. Completions: 72 regional graduates in 2024 (SLCC: 3), indicating a likely talent shortfall relative to net growth. Highlighted occupations: Heating, Air Conditioning, and Refrigeration Mechanics and Installers (4,719 jobs, $62,094). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Aircraft Electonics: CP,ACEC-CP,Workforce,490101,Flight Technology,CP,Aircraft Electronics,ACEC,1,6,3,83694,1,0,29.29,0.11,0,"Current demand: 2,287 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 2,598 jobs by 2030 (14%), a net change of 311; national-trend adjustment suggests 220. Earnings: average annual pay ranges from $104,132 to $104,132 across mapped roles; top-paying role locally is Transportation, Storage, and Distribution Managers ($104,132). Typical education: High school diploma or equivalent. Completions: 2,156 regional graduates in 2024 (SLCC: 273), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Transportation, Storage, and Distribution Managers (2,287 jobs, $104,132). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
American Sign Lang/Eng Int:AAS,ASLI-AAS,Workforce,161603,Sign Language Interp & Transla,AAS,American Sign Lang/Interpret,ASLI,16,3,3,34322,9,2,16.57,0.07,0,"Current demand: 2,839 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 3,135 jobs by 2030 (10%), a net change of 296; national-trend adjustment suggests 170. Earnings: average annual pay ranges from $66,663 to $66,663 across mapped roles; top-paying role locally is Interpreters and Translators ($66,663). Typical education: Bachelor's degree. Completions: 1,590 regional graduates in 2024 (SLCC: 15), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Interpreters and Translators (2,839 jobs, $66,663). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
American Sign Language: AA,ASL-AA,Transfer,161601,"American Sign Language, ASL",AA,American Sign Language,ASL,67,0,0,,5,2,16.57,0.07,0,"Current demand: 10,393 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 11,396 jobs by 2030 (10%), a net change of 1,003; national-trend adjustment suggests 334. Earnings: average annual pay ranges from $66,663 to $71,566 across mapped roles; top-paying role locally is Secondary School Teachers, Except Special and Career/Technical Education ($71,566). Typical education: Bachelor's degree. Completions: 6,426 regional graduates in 2024 (SLCC: 152), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Secondary School Teachers, Except Special and Career/Technical Education (7,554 jobs, $71,566); Interpreters and Translators (2,839 jobs, $66,663). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Anthropology: AA,ANTH-AA,Transfer,450201,Anthropology,AA,Anthropology,ANTH,35,0,0,,2,1,63.37,0.15,0,"Current demand: 22,545 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 26,370 jobs by 2030 (17%), a net change of 3,824; national-trend adjustment suggests 2,881. Earnings: average annual pay ranges from $92,689 to $92,689 across mapped roles; top-paying role locally is Managers, All Other ($92,689). Typical education: Bachelor's degree. Completions: 25,102 regional graduates in 2024 (SLCC: 2,550), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Managers, All Other (22,545 jobs, $92,689). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
